from;to;status;distance;time
Catanzaro;Macerata;OK;744318;30441
Catanzaro;Urbino;OK;845633;33986
Catanzaro;Fermo;OK;707905;28853
Catanzaro;Chieti;OK;606075;25898
Catanzaro;Teramo;OK;674283;25893
Catanzaro;Frosinone;OK;530415;20292
Catanzaro;Latina;OK;577091;22911
Catanzaro;Rieti;OK;676482;25767
Catanzaro;Viterbo;OK;691294;26455
Catanzaro;Nuoro;OK;1081419;34107
Catanzaro;Sassari;OK;1192613;39460
Catanzaro;Carbonia;OK;1196899;39559
Catanzaro;Iglesias;OK;1174207;38517
Catanzaro;Sanluri;OK;1126167;36152
Catanzaro;Villacidro;OK;1153983;37527
Catanzaro;Lanusei;OK;1008752;30431
Catanzaro;Tortolì;OK;990706;29589
Catanzaro;Olbia;OK;1149475;37143
Catanzaro;Tempio Pausania;OK;1190580;39349
Catanzaro;Ferrara;OK;1006706;35920
Catanzaro;Pesaro;OK;824065;33282
Catanzaro;Padova;OK;1077638;37977
Catanzaro;Barletta;OK;406525;18099
Catanzaro;Foggia;OK;416962;19000
Catanzaro;Oristano;OK;1162506;37604
Catanzaro;Pisa;OK;938073;34052
Catanzaro;Livorno;OK;946953;34524
Catanzaro;Nice;OK;1257329;46068
Catanzaro;Siracusa;OK;317941;18285
Catanzaro;Piacenza;OK;1097496;38380
Catanzaro;Bergamo;OK;1185664;41708
Potenza;L'Aquila;OK;397421;15914
Potenza;Catanzaro;OK;313025;13633
Potenza;Palermo;OK;625946;30825
Potenza;Napoli;OK;183349;8257
Potenza;Campobasso;OK;193955;10250
Potenza;Trento;OK;878126;32028
Potenza;Genova;OK;870188;30942
Potenza;Bologna;OK;653602;25233
Potenza;Firenze;OK;635775;22484
Potenza;Venezia;OK;802241;29523
Potenza;Torino;OK;984529;36703
Potenza;Trieste;OK;957007;34466
Potenza;Bari;OK;127094;7305
Potenza;Cagliari;OK;908718;28429
Potenza;Roma;OK;385008;14869
Potenza;Milano;OK;865495;31724
Potenza;Ancona;OK;450813;17424
Potenza;Aosta;OK;1050117;39113
Potenza;Perugia;OK;533983;20356
Potenza;Arezzo;OK;579950;20842
Potenza;Grosseto;OK;564785;21894
Potenza;Massa;OK;755788;26335
Potenza;Pistoia;OK;674628;23581
Potenza;Prato;OK;658030;23199
Potenza;Siena;OK;609549;22004
Potenza;Brescia;OK;848595;31412
Potenza;Como;OK;917678;33492
Potenza;Cremona;OK;833722;30944
Potenza;Lecco;OK;917259;33719
Potenza;Lodi;OK;841135;30930
Potenza;Mantova;OK;763815;28727
Potenza;Pavia;OK;854368;32076
Potenza;Sondrio;OK;996817;37394
Potenza;Varese;OK;925724;33797
Potenza;Monza;OK;877683;32122
Potenza;Alessandria;OK;901864;33475
Potenza;Asti;OK;937532;34703
Potenza;Biella;OK;967627;35992
Potenza;Cuneo;OK;1010298;36540
Potenza;Novara;OK;919049;34234
Potenza;Verbania;OK;970073;35818
Potenza;Vercelli;OK;950104;35236
Potenza;Bolzano - Bozen;OK;934172;34227
Potenza;Belluno;OK;893242;32209
Potenza;Rovigo;OK;727887;27213
Potenza;Treviso;OK;817118;30055
Potenza;Verona;OK;796143;29747
Potenza;Vicenza;OK;798227;29546
Potenza;Gorizia;OK;927680;34057
Potenza;Pordenone;OK;874701;31457
Potenza;Udine;OK;916921;33348
Potenza;Imperia;OK;986805;35523
Potenza;La Spezia;OK;783817;27408
Potenza;Savona;OK;911426;32543
Potenza;Agrigento;OK;656865;33349
Potenza;Caltanissetta;OK;606396;30212
Potenza;Catania;OK;497113;25861
Potenza;Enna;OK;581033;29356
Potenza;Messina;OK;401524;21721
Potenza;Ragusa;OK;602974;31198
Potenza;Trapani;OK;728900;35011
Potenza;Reggio di Calabria;OK;403716;17098
Potenza;Cosenza;OK;220037;9917
Potenza;Crotone;OK;298529;14875
Potenza;Vibo Valentia;OK;314630;14202
Potenza;Matera;OK;98856;5037
Potenza;Isernia;OK;271740;11864
Potenza;Terni;OK;465041;17725
Potenza;Brindisi;OK;218615;10310
Potenza;Lecce;OK;254768;11746
Potenza;Taranto;OK;154922;7704
Potenza;Andria;OK;118119;6717
Potenza;Trani;OK;131552;7231
Potenza;Avellino;OK;159809;7279
Potenza;Benevento;OK;144021;8094
Potenza;Caserta;OK;199056;8931
Potenza;Salerno;OK;129396;6024
Potenza;Forlì;OK;597307;23151
Potenza;Modena;OK;697579;27150
Potenza;Parma;OK;750222;28830
Potenza;Ravenna;OK;602784;23290
Potenza;Rimini;OK;544485;20898
Potenza;Ascoli Piceno;OK;386117;15213
Potenza;Macerata;OK;434305;17020
Potenza;Urbino;OK;540333;20936
Potenza;Fermo;OK;397891;15432
Potenza;Chieti;OK;296061;12477
Potenza;Teramo;OK;354708;14282
Potenza;Frosinone;OK;308628;11932
Potenza;Latina;OK;355304;14551
Potenza;Rieti;OK;454695;17407
Potenza;Viterbo;OK;469508;18096
Potenza;Nuoro;OK;859632;25747
Potenza;Sassari;OK;970826;31100
Potenza;Carbonia;OK;975113;31199
Potenza;Iglesias;OK;952420;30157
Potenza;Sanluri;OK;904380;27792
Potenza;Villacidro;OK;932196;29167
Potenza;Lanusei;OK;786966;22071
Potenza;Tortolì;OK;768920;21229
Potenza;Olbia;OK;927689;28783
Potenza;Tempio Pausania;OK;968793;30989
Potenza;Ferrara;OK;695006;26537
Potenza;Pesaro;OK;514052;19861
Potenza;Padova;OK;765938;28594
Potenza;Barletta;OK;120017;6792
Potenza;Foggia;OK;106948;5579
Potenza;Oristano;OK;940720;29244
Potenza;Pisa;OK;716287;25692
Potenza;Livorno;OK;725166;26165
Potenza;Nice;OK;1035542;37708
Potenza;Siracusa;OK;562039;28344
Potenza;Piacenza;OK;804696;29857
Potenza;Bergamo;OK;892863;33186
Palermo;L'Aquila;OK;553421;39203
Palermo;Catanzaro;OK;384974;20531
Palermo;Potenza;OK;627856;30862
Palermo;Napoli;OK;323407;30836
Palermo;Campobasso;OK;454165;37626
Palermo;Trento;OK;1107708;55461
Palermo;Genova;OK;1028757;54212
Palermo;Bologna;OK;898657;49407
Palermo;Firenze;OK;794343;45754
Palermo;Venezia;OK;1050722;53815
Palermo;Torino;OK;1214111;60136
Palermo;Trieste;OK;1205488;58758
Palermo;Bari;OK;673242;33500
Palermo;Cagliari;OK;424119;43813
Palermo;Roma;OK;543576;38139
Palermo;Milano;OK;1095077;55157
Palermo;Ancona;OK;746622;45906
Palermo;Aosta;OK;1279699;62546
Palermo;Perugia;OK;692552;43626
Palermo;Arezzo;OK;738519;44112
Palermo;Grosseto;OK;723353;45164
Palermo;Massa;OK;914357;49605
Palermo;Pistoia;OK;833196;46851
Palermo;Prato;OK;816598;46469
Palermo;Siena;OK;768117;45274
Palermo;Brescia;OK;1078177;54844
Palermo;Como;OK;1147260;56925
Palermo;Cremona;OK;1063305;54377
Palermo;Lecco;OK;1146841;57152
Palermo;Lodi;OK;1070717;54362
Palermo;Mantova;OK;993397;52160
Palermo;Pavia;OK;1083951;55508
Palermo;Sondrio;OK;1226399;60827
Palermo;Varese;OK;1155306;57230
Palermo;Monza;OK;1107265;55555
Palermo;Alessandria;OK;1131446;56908
Palermo;Asti;OK;1167114;58136
Palermo;Biella;OK;1197209;59425
Palermo;Cuneo;OK;1168866;59810
Palermo;Novara;OK;1148631;57667
Palermo;Verbania;OK;1199655;59251
Palermo;Vercelli;OK;1179687;58669
Palermo;Bolzano - Bozen;OK;1163755;57660
Palermo;Belluno;OK;1141724;56502
Palermo;Rovigo;OK;976368;51505
Palermo;Treviso;OK;1065600;54347
Palermo;Verona;OK;1025726;53180
Palermo;Vicenza;OK;1046708;53839
Palermo;Gorizia;OK;1176161;58349
Palermo;Pordenone;OK;1123182;55750
Palermo;Udine;OK;1165402;57641
Palermo;Imperia;OK;1145373;58793
Palermo;La Spezia;OK;942385;50678
Palermo;Savona;OK;1069994;55813
Palermo;Agrigento;OK;129852;7285
Palermo;Caltanissetta;OK;131653;5687
Palermo;Catania;OK;210358;8754
Palermo;Enna;OK;133117;5979
Palermo;Messina;OK;225939;9186
Palermo;Ragusa;OK;243972;12420
Palermo;Trapani;OK;104017;4332
Palermo;Reggio di Calabria;OK;250370;14858
Palermo;Cosenza;OK;413225;21661
Palermo;Crotone;OK;451790;24244
Palermo;Vibo Valentia;OK;322370;18244
Palermo;Matera;OK;607782;31241
Palermo;Isernia;OK;430309;35134
Palermo;Terni;OK;623610;40995
Palermo;Brindisi;OK;673197;33552
Palermo;Lecce;OK;709350;34988
Palermo;Taranto;OK;609504;30946
Palermo;Andria;OK;718082;35330
Palermo;Trani;OK;710397;34956
Palermo;Avellino;OK;698637;33001
Palermo;Benevento;OK;394451;34327
Palermo;Caserta;OK;357624;32201
Palermo;Salerno;OK;668224;31746
Palermo;Forlì;OK;871500;50403
Palermo;Modena;OK;927161;50583
Palermo;Parma;OK;979804;52262
Palermo;Ravenna;OK;885843;50917
Palermo;Rimini;OK;840294;49380
Palermo;Ascoli Piceno;OK;645199;42783
Palermo;Macerata;OK;730113;45502
Palermo;Urbino;OK;782415;48896
Palermo;Fermo;OK;693700;43915
Palermo;Chieti;OK;601519;41027
Palermo;Teramo;OK;611065;40803
Palermo;Frosinone;OK;467197;35202
Palermo;Latina;OK;513872;37821
Palermo;Rieti;OK;613264;40677
Palermo;Viterbo;OK;628076;41366
Palermo;Nuoro;OK;1018201;49017
Palermo;Sassari;OK;636690;52542
Palermo;Carbonia;OK;502208;47461
Palermo;Iglesias;OK;479516;46420
Palermo;Sanluri;OK;470878;45953
Palermo;Villacidro;OK;469271;46188
Palermo;Lanusei;OK;945534;45341
Palermo;Tortolì;OK;927488;44499
Palermo;Olbia;OK;1086257;52053
Palermo;Tempio Pausania;OK;1127361;54259
Palermo;Ferrara;OK;943488;50830
Palermo;Pesaro;OK;809860;48344
Palermo;Padova;OK;1014420;52887
Palermo;Barletta;OK;723567;35461
Palermo;Foggia;OK;734004;36362
Palermo;Oristano;OK;516216;47480
Palermo;Pisa;OK;874855;48962
