from;to;status;distance;time
Bologna;Firenze;OK;110987;4964
Bologna;Milano;OK;213021;7023
Bologna;Torino;OK;332057;12000
Bologna;Trento;OK;225654;7325
Bologna;Venezia;OK;153562;4917
Bologna;Trieste;OK;308827;10275
Bologna;Genova;OK;303207;10511
Bologna;Palermo;OK;1278689;51963
Bologna;Catanzaro;OK;965767;34768
Bologna;Potenza;OK;653209;25183
Bologna;Campobasso;OK;530780;20292
Bologna;Perugia;OK;258330;9446
Bologna;Bari;OK;666666;24558
Bologna;Ancona;OK;213928;10032
Bologna;L'Aquila;OK;398439;14832
Bologna;Cagliari;OK;892506;189041
Bologna;Aosta;OK;397614;14413
Bologna;Napoli;OK;577260;19097
