from,to,status,distance210913,time210913,distance030813,time030813,distDiff,timeDiff
Palermo,L'Aquila,OK,553421,39203,933721,41656,-380300,-2453
Palermo,Cagliari,OK,424119,43813,1521229,218103,-1097110,-174290
Palermo,Aosta,OK,1279699,62546,1659922,65485,-380223,-2939
Palermo,Napoli,OK,323407,30836,722247,33985,-398840,-3149
Palermo,Bologna,OK,898657,49407,1278912,52245,-380255,-2838
Catanzaro,Roma,OK,606798,23229,606868,23232,-70,-3
Catanzaro,Firenze,OK,857619,30852,858015,30854,-396,-2
Catanzaro,Milano,OK,1158295,40246,1158287,40730,8,-484
Catanzaro,Torino,OK,1277329,45226,1277323,45707,6,-481
Catanzaro,Trento,OK,1170926,40551,1170920,41032,6,-481
Catanzaro,Venezia,OK,1113941,38905,1113408,39242,533,-337
Catanzaro,Trieste,OK,1268706,43848,1268673,44599,33,-751
Catanzaro,Genova,OK,1091975,39302,1092045,39302,-70,0
Catanzaro,Palermo,OK,381847,20766,381849,20769,-2,-3
Catanzaro,Potenza,OK,310814,13499,310885,13503,-71,-4
Catanzaro,Campobasso,OK,481057,20602,481127,20605,-70,-3
Catanzaro,Perugia,OK,755770,28716,755839,28718,-69,-2
Catanzaro,Bari,OK,356200,16137,356134,16134,66,3
Catanzaro,Ancona,OK,760827,30845,760898,30848,-71,-3
Catanzaro,L'Aquila,OK,616640,24293,616678,24291,-38,2
Catanzaro,Cagliari,OK,1130505,36789,1204186,200738,-73681,-163949
Catanzaro,Aosta,OK,1342918,47635,1342880,48120,38,-485
Catanzaro,Napoli,OK,405135,16617,405205,16620,-70,-3
Catanzaro,Bologna,OK,961875,34497,961869,34879,6,-382
Potenza,Roma,OK,385011,14869,376494,14882,8517,-13
Potenza,Firenze,OK,635832,22492,627641,22504,8191,-12
Potenza,Milano,OK,865495,31724,865481,31726,14,-2
Potenza,Torino,OK,984529,36703,984517,36703,12,0
Potenza,Trento,OK,878126,32028,878114,32028,12,0
Potenza,Venezia,OK,802241,29523,801703,29476,538,47
Potenza,Trieste,OK,957007,34466,956968,34834,39,-368
Potenza,Genova,OK,870188,30942,861671,30952,8517,-10
Potenza,Palermo,OK,625946,30825,626522,30939,-576,-114
Potenza,Catanzaro,OK,313025,13633,313599,13745,-574,-112
Potenza,Campobasso,OK,193955,10250,193957,10250,-2,0
Potenza,Perugia,OK,533983,20356,525465,20368,8518,-12
Potenza,Bari,OK,127094,7305,127091,7305,3,0
Potenza,Ancona,OK,450813,17424,450813,17424,0,0
Potenza,L'Aquila,OK,397421,15914,380220,15805,17201,109
Potenza,Cagliari,OK,908718,28429,973813,192388,-65095,-163959
Potenza,Aosta,OK,1050117,39113,1050074,39115,43,-2
Potenza,Napoli,OK,183349,8257,174831,8270,8518,-13
Potenza,Bologna,OK,653602,25233,653590,25233,12,0
Campobasso,Roma,OK,225518,10076,225518,10131,0,-55
Campobasso,Firenze,OK,476338,17699,476665,17754,-327,-55
Campobasso,Milano,OK,740639,26113,740287,26048,352,65
Campobasso,Torino,OK,859674,31093,859323,31025,351,68
Campobasso,Trento,OK,753270,26418,752920,26350,350,68
Campobasso,Venezia,OK,677386,23912,676509,23798,877,114
Campobasso,Trieste,OK,832151,28855,831774,29156,377,-301
Campobasso,Genova,OK,710695,26149,710695,26202,0,-53
Campobasso,Palermo,OK,457031,38135,794423,38490,-337392,-355
Campobasso,Catanzaro,OK,480153,21223,481500,21295,-1347,-72
Campobasso,Potenza,OK,194070,10274,194072,10274,-2,0
Campobasso,Perugia,OK,374490,15563,374489,15618,1,-55
Campobasso,Bari,OK,218467,10299,218469,10300,-2,-1
Campobasso,Ancona,OK,325958,11813,325620,11746,338,67
Campobasso,L'Aquila,OK,272566,10304,255026,10127,17540,177
Campobasso,Cagliari,OK,749225,23636,822837,187638,-73612,-164002
Campobasso,Aosta,OK,925262,33502,924880,33437,382,65
Campobasso,Napoli,OK,133553,7413,133553,7413,0,0
Campobasso,Bologna,OK,528747,19623,528396,19555,351,68
Perugia,Roma,OK,172653,7448,175116,7495,-2463,-47
Perugia,Firenze,OK,151441,5447,151767,5447,-326,0
Perugia,Milano,OK,452117,14842,452040,15322,77,-480
Perugia,Torino,OK,571151,19821,571075,20299,76,-478
